Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
60.0,25.3,25.2
60.1,25.3,25.2
60.2,25.3,25.2
60.3,25.3,25.2
60.4,25.3,25.3
60.5,25.3,25.2
60.6,25.6,25.4
60.7,25.3,25.2
60.8,25.3,25.3
60.9,25.3,25.2
61.0,25.5,25.4
61.1,25.3,25.2
61.2,25.3,25.2
61.3,25.3,25.2
61.4,25.3,25.2
61.5,25.3,25.2
61.6,25.3,25.2
61.7,25.3,25.2
61.8,25.3,25.2
61.9,25.3,25.2
62.0,25.6,25.4
62.1,25.5,25.3
62.2,25.3,25.2
62.3,25.3,25.2
62.4,25.3,25.2
62.5,25.5,25.3
62.6,25.3,25.2
62.7,25.3,25.2
62.8,25.3,25.2
62.9,25.3,25.3
63.0,25.5,25.4
63.1,25.3,25.3
63.2,25.3,25.2
63.3,25.3,25.2
63.4,25.3,25.3
63.5,25.6,25.4
63.6,25.3,25.2
63.7,25.3,25.2
63.8,25.3,25.2
63.9,25.3,25.2
64.0,25.3,25.2
64.1,25.3,25.2
64.2,25.4,25.3
64.3,25.3,25.2
64.4,25.3,25.2
64.5,25.3,25.2
64.6,25.3,25.2
64.7,25.3,25.2
64.8,25.3,25.2
64.9,25.3,25.2
65.0,25.3,25.2
65.1,25.3,25.2
65.2,25.3,25.2
65.3,25.3,25.2
65.4,25.3,25.2
65.5,25.3,25.2
65.6,25.3,25.2
65.7,25.3,25.2
65.8,25.3,25.2
65.9,25.3,25.2
66.0,25.3,25.2
66.1,25.3,25.2
66.2,25.3,25.2
66.3,25.3,25.2
66.4,25.3,25.2
66.5,25.3,25.3
66.6,25.3,25.2
66.7,25.3,25.2
66.8,25.5,25.4
66.9,25.3,25.2
67.0,25.3,25.2
67.1,25.3,25.2
67.2,25.3,25.2
67.3,25.3,25.2
67.4,25.5,25.4
67.5,25.3,25.2
67.6,25.3,25.2
67.7,25.3,25.2
67.8,25.3,25.2
67.9,25.3,25.2
68.0,25.6,25.4
68.1,25.3,25.2
68.2,25.3,25.2
68.3,25.3,25.2
